time="2022-10-02T02:47:29+08:00" level=info msg="RESTful API listening at: 127.0.0.1:49907"
time="2022-10-02T02:48:51+08:00" level=info msg="[TCP] 127.0.0.1:50679 --> ts4.cn.mm.bing.net:443 match GeoIP(CN) using DIRECT"
time="2022-10-02T02:48:51+08:00" level=info msg="[TCP] 127.0.0.1:50682 --> ts4.cn.mm.bing.net:443 match GeoIP(CN) using DIRECT"
time="2022-10-02T02:48:51+08:00" level=info msg="[TCP] 127.0.0.1:50685 --> ts4.cn.mm.bing.net:443 match GeoIP(CN) using DIRECT"
time="2022-10-02T02:48:51+08:00" level=info msg="[TCP] 127.0.0.1:50652 --> img-s.msn.cn:443 match DomainSuffix(cn) using DIRECT"
time="2022-10-02T02:48:51+08:00" level=info msg="[TCP] 127.0.0.1:50656 --> img-s.msn.cn:443 match DomainSuffix(cn) using DIRECT"
time="2022-10-02T02:48:51+08:00" level=info msg="[TCP] 127.0.0.1:50659 --> img-s.msn.cn:443 match DomainSuffix(cn) using DIRECT"
time="2022-10-02T02:48:51+08:00" level=info msg="[TCP] 127.0.0.1:50671 --> img-s.msn.cn:443 match DomainSuffix(cn) using DIRECT"
time="2022-10-02T02:48:51+08:00" level=info msg="[TCP] 127.0.0.1:50687 --> ts4.cn.mm.bing.net:443 match GeoIP(CN) using DIRECT"
time="2022-10-02T02:48:51+08:00" level=info msg="[TCP] 127.0.0.1:50658 --> img-s.msn.cn:443 match DomainSuffix(cn) using DIRECT"
time="2022-10-02T02:48:51+08:00" level=info msg="[TCP] 127.0.0.1:50674 --> img-s.msn.cn:443 match DomainSuffix(cn) using DIRECT"
time="2022-10-02T02:48:51+08:00" level=info msg="[TCP] 127.0.0.1:50690 --> assets.msn.com:443 match Match() using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T02:48:51+08:00" level=info msg="[TCP] 127.0.0.1:50689 --> assets.msn.com:443 match Match() using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T02:48:58+08:00" level=info msg="[TCP] 127.0.0.1:50720 --> c.gj.qq.com:80 match DomainSuffix(qq.com) using DIRECT"
time="2022-10-02T02:48:58+08:00" level=info msg="[TCP] 127.0.0.1:50726 --> c.gj.qq.com:443 match DomainSuffix(qq.com) using DIRECT"
time="2022-10-02T02:48:59+08:00" level=info msg="[TCP] 127.0.0.1:50729 --> ocsp.globalsign.com:80 match DomainSuffix(globalsign.com) using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T02:48:59+08:00" level=info msg="[TCP] 127.0.0.1:50729 --> ocsp2.globalsign.com:80 match DomainSuffix(globalsign.com) using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T02:49:09+08:00" level=info msg="[TCP] 127.0.0.1:61456 --> ipv6.msftconnecttest.com:80 match Match() using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T02:49:09+08:00" level=info msg="[TCP] 127.0.0.1:61464 --> ipv6.msftconnecttest.com:80 match Match() using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T02:49:09+08:00" level=info msg="[TCP] 127.0.0.1:61463 --> ipv6.msftconnecttest.com:80 match Match() using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T02:49:09+08:00" level=info msg="[TCP] 127.0.0.1:61462 --> www.msftconnecttest.com:80 match Match() using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T02:49:09+08:00" level=info msg="[TCP] 127.0.0.1:61452 --> www.msftconnecttest.com:80 match Match() using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T02:49:09+08:00" level=info msg="[TCP] 127.0.0.1:61447 --> www.msftconnecttest.com:80 match Match() using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T02:49:11+08:00" level=info msg="[TCP] 127.0.0.1:61473 --> pub.idqqimg.com:443 match GeoIP(CN) using DIRECT"
time="2022-10-02T02:49:17+08:00" level=info msg="[TCP] 127.0.0.1:61483 --> 182.254.116.116:80 match GeoIP(CN) using DIRECT"
time="2022-10-02T02:49:17+08:00" level=info msg="[TCP] 127.0.0.1:61486 --> otheve.beacon.qq.com:443 match DomainSuffix(qq.com) using DIRECT"
time="2022-10-02T02:49:17+08:00" level=info msg="[TCP] 127.0.0.1:61490 --> cache.tv.qq.com:443 match DomainSuffix(qq.com) using DIRECT"
time="2022-10-02T02:49:18+08:00" level=info msg="[TCP] 127.0.0.1:61502 --> tj.video.qq.com:443 match DomainSuffix(qq.com) using DIRECT"
